d_index,Model,ACA,AOA_tau,F1,Composite
7.0,Phi,1.0,1.0,1.0,1.0
7.0,Mistral,1.0,1.0,1.0,1.0
7.0,LLaMA,1.0,1.0,1.0,1.0
7.0,Gemma,0.3333333333333333,1.0,0.2,0.38666666666666666
9.0,Phi,1.0,1.0,1.0,1.0
9.0,Mistral,1.0,1.0,1.0,1.0
9.0,LLaMA,1.0,1.0,1.0,1.0
9.0,Gemma,1.0,1.0,1.0,1.0
11.0,Phi,1.0,1.0,1.0,1.0
11.0,Mistral,1.0,1.0,1.0,1.0
11.0,LLaMA,0.0833333333333333,1.0,0.0,0.21666666666666667
11.0,Gemma,1.0,1.0,1.0,1.0
13.0,Phi,1.0,1.0,1.0,1.0
13.0,Mistral,0.5,2.0,0.0,0.5
13.0,LLaMA,1.0,1.0,0.0,0.4
13.0,Gemma,1.0,1.0,1.0,1.0
19.0,Phi,1.0,1.0,1.0,1.0
19.0,Mistral,0.4,2.5,0.0,0.5800000000000001
19.0,LLaMA,1.0,1.0,1.0,1.0
19.0,Gemma,1.0,1.0,1.0,1.0
21.0,Phi,1.0,1.0,1.0,1.0
21.0,Mistral,1.0,1.0,1.0,1.0
21.0,LLaMA,0.0,,0.0,0.0
21.0,Gemma,1.0,1.0,1.0,1.0
26.0,Phi,1.0,1.0,1.0,1.0
26.0,Mistral,1.0,1.0,1.0,1.0
26.0,LLaMA,0.0,,0.0,0.0
26.0,Gemma,1.0,1.0,1.0,1.0
32.0,Phi,1.0,1.0,1.0,1.0
32.0,Mistral,1.0,1.0,1.0,1.0
32.0,LLaMA,0.0,,0.0,0.0
32.0,Gemma,1.0,1.0,1.0,1.0
34.0,Phi,1.0,0.0,0.0,0.2
34.0,Mistral,1.0,1.0,1.0,1.0
34.0,LLaMA,1.0,1.0,1.0,1.0
34.0,Gemma,1.0,1.0,1.0,1.0
36.0,Phi,0.8333333333333334,0.0,1.0,0.7666666666666666
36.0,Mistral,0.8333333333333334,0.0,1.0,0.7666666666666666
36.0,LLaMA,1.0,1.0,1.0,1.0
36.0,Gemma,1.0,1.0,1.0,1.0
37.0,Phi,1.0,1.0,1.0,1.0
37.0,Mistral,1.0,1.0,1.0,1.0
37.0,LLaMA,1.0,0.0,0.0,0.2
37.0,Gemma,1.0,1.0,1.0,1.0
39.0,Phi,1.0,0.1428571428571428,1.0,0.8285714285714285
39.0,Mistral,1.0,1.0,1.0,1.0
39.0,LLaMA,1.0,0.2857142857142857,1.0,0.8571428571428572
39.0,Gemma,1.0,0.1428571428571428,1.0,0.8285714285714285
40.0,Phi,0.1666666666666666,1.0,0.0,0.23333333333333334
40.0,Mistral,1.0,1.0,1.0,1.0
40.0,LLaMA,0.1666666666666666,0.0,0.0,0.03333333333333332
40.0,Gemma,1.0,1.0,1.0,1.0
42.0,Phi,1.0,1.0,1.0,1.0
42.0,Mistral,1.0,1.0,1.0,1.0
42.0,LLaMA,1.0,1.0,1.0,1.0
42.0,Gemma,1.0,1.0,1.0,1.0
45.0,Phi,1.0,1.0,1.0,1.0
45.0,Mistral,1.0,1.0,1.0,1.0
45.0,LLaMA,1.0,1.0,1.0,1.0
45.0,Gemma,0.5,0.0,0.0,0.1
48.0,Phi,1.0,1.0,1.0,1.0
48.0,Mistral,0.9090909090909092,0.3,0.9,0.7818181818181819
48.0,LLaMA,1.0,1.0,1.0,1.0
48.0,Gemma,1.0,1.0,1.0,1.0
49.0,Phi,1.0,1.0,1.0,1.0
49.0,Mistral,1.0,1.0,1.0,1.0
49.0,LLaMA,1.0,1.0,1.0,1.0
49.0,Gemma,1.0,1.0,1.0,1.0
51.0,Phi,1.0,1.0,1.0,1.0
51.0,Mistral,1.0,0.2,1.0,0.84
51.0,LLaMA,1.0,1.0,1.0,1.0
51.0,Gemma,1.0,1.0,1.0,1.0
52.0,Phi,1.0,1.0,1.0,1.0
52.0,Mistral,1.0,1.0,1.0,1.0
52.0,LLaMA,1.0,1.0,1.0,1.0
52.0,Gemma,0.0,,0.0,0.0
54.0,Phi,1.0,1.0,1.0,1.0
54.0,Mistral,1.0,1.0,1.0,1.0
54.0,LLaMA,0.1666666666666666,1.0,0.2857142857142857,0.40476190476190477
54.0,Gemma,1.0,1.0,1.0,1.0
55.0,Phi,1.0,1.0,1.0,1.0
55.0,Mistral,1.0,1.0,1.0,1.0
55.0,LLaMA,1.0,1.0,1.0,1.0
