d_index,Model,ACA,AOA_tau,F1,Composite
1.0,Phi,1.0,1.0,1.0,1.0
1.0,Mistral,1.0,1.0,1.0,1.0
1.0,LLaMA,0.0,,0.0,0.0
1.0,Gemma,1.0,1.0,1.0,1.0
2.0,Phi,1.0,1.0,1.0,1.0
2.0,Mistral,1.0,1.0,1.0,1.0
2.0,LLaMA,1.0,1.0,1.0,1.0
2.0,Gemma,1.0,1.0,0.0,0.4
3.0,Phi,1.0,1.0,1.0,1.0
3.0,Mistral,1.0,1.0,1.0,1.0
3.0,LLaMA,1.0,1.0,1.0,1.0
3.0,Gemma,1.0,1.0,1.0,1.0
4.0,Phi,1.0,1.0,1.0,1.0
4.0,Mistral,1.0,1.0,1.0,1.0
4.0,LLaMA,0.1999999999999999,0.0,0.0,0.03999999999999998
4.0,Gemma,1.0,1.0,1.0,1.0
5.0,Phi,1.0,1.0,1.0,1.0
5.0,Mistral,1.0,1.0,0.9090909090909092,0.9454545454545455
5.0,LLaMA,0.1666666666666666,0.0,0.0,0.03333333333333332
5.0,Gemma,1.0,1.0,0.9090909090909092,0.9454545454545455
6.0,Phi,1.0,1.0,1.0,1.0
6.0,Mistral,1.0,1.0,1.0,1.0
6.0,LLaMA,1.0,1.0,1.0,1.0
6.0,Gemma,1.0,1.0,1.0,1.0
8.0,Phi,1.0,1.0,1.0,1.0
8.0,Mistral,1.0,1.0,1.0,1.0
8.0,LLaMA,1.0,1.0,1.0,1.0
8.0,Gemma,1.0,1.0,1.0,1.0
10.0,Phi,1.0,1.0,1.0,1.0
10.0,Mistral,1.0,1.0,1.0,1.0
10.0,LLaMA,1.0,0.0,0.0,0.2
10.0,Gemma,1.0,1.0,1.0,1.0
12.0,Phi,1.0,1.0,1.0,1.0
12.0,Mistral,1.0,1.0,1.0,1.0
12.0,LLaMA,0.0,,0.0,0.0
12.0,Gemma,1.0,1.0,1.0,1.0
14.0,Phi,1.0,1.0,1.0,1.0
14.0,Mistral,1.0,1.0,1.0,1.0
14.0,LLaMA,0.75,0.0,0.0,0.15000000000000002
14.0,Gemma,1.0,1.0,1.0,1.0
15.0,Phi,0.0,,0.0,0.0
15.0,Mistral,1.0,0.0,0.0,0.2
15.0,LLaMA,1.0,1.0,1.0,1.0
15.0,Gemma,1.0,1.0,1.0,1.0
16.0,Phi,1.0,1.0,1.0,1.0
16.0,Mistral,1.0,1.0,1.0,1.0
16.0,LLaMA,1.0,1.0,1.0,1.0
16.0,Gemma,0.0,,0.0,0.0
17.0,Phi,1.0,1.0,1.0,1.0
17.0,Mistral,0.0,,0.0,0.0
17.0,LLaMA,1.0,1.0,1.0,1.0
17.0,Gemma,0.0,,0.0,0.0
18.0,Phi,1.0,1.0,1.0,1.0
18.0,Mistral,1.0,1.0,1.0,1.0
18.0,LLaMA,1.0,1.0,1.0,1.0
18.0,Gemma,1.0,1.0,1.0,1.0
20.0,Phi,1.0,1.0,1.0,1.0
20.0,Mistral,1.0,1.0,1.0,1.0
20.0,LLaMA,0.0,,0.0,0.0
20.0,Gemma,0.0,,0.0,0.0
22.0,Phi,1.0,1.0,1.0,1.0
22.0,Mistral,1.0,1.0,1.0,1.0
22.0,LLaMA,1.0,1.0,1.0,1.0
22.0,Gemma,1.0,1.0,1.0,1.0
23.0,Phi,1.0,1.0,1.0,1.0
23.0,Mistral,1.0,1.0,1.0,1.0
23.0,LLaMA,1.0,1.0,1.0,1.0
23.0,Gemma,1.0,1.0,1.0,1.0
24.0,Phi,1.0,1.0,1.0,1.0
24.0,Mistral,1.0,1.0,0.6666666666666666,0.8
24.0,LLaMA,0.0,,0.0,0.0
24.0,Gemma,1.0,1.0,0.6666666666666666,0.8
25.0,Phi,1.0,1.0,1.0,1.0
25.0,Mistral,1.0,1.0,1.0,1.0
25.0,LLaMA,0.0,,0.0,0.0
25.0,Gemma,1.0,1.0,1.0,1.0
27.0,Phi,1.0,1.0,1.0,1.0
27.0,Mistral,1.0,1.0,1.0,1.0
27.0,LLaMA,1.0,1.0,1.0,1.0
27.0,Gemma,1.0,1.0,1.0,1.0
28.0,Phi,1.0,1.0,1.0,1.0
28.0,Mistral,1.0,1.0,1.0,1.0
28.0,LLaMA,1.0,1.0,1.0,1.0
28.0,Gemma,1.0,1.0,1.0,1.0
29.0,Phi,1.0,1.0,1.0,1.0
29.0,Mistral,1.0,1.0,1.0,1.0
29.0,LLaMA,1.0,1.0,1.0,1.0
29.0,Gemma,1.0,1.0,1.0,1.0
30.0,Phi,,,0.0,0.0
30.0,Mistral,,,0.0,0.0
30.0,LLaMA,,,0.0,0.0
30.0,Gemma,,,0.0,0.0
31.0,Phi,1.0,1.0,1.0,1.0
31.0,Mistral,1.0,1.0,1.0,1.0
31.0,LLaMA,1.0,1.0,1.0,1.0
31.0,Gemma,1.0,1.0,1.0,1.0
35.0,Phi,1.0,1.0,1.0,1.0
35.0,Mistral,1.0,1.0,1.0,1.0
35.0,LLaMA,1.0,1.0,1.0,1.0
35.0,Gemma,1.0,1.0,1.0,1.0
38.0,Phi,1.0,1.0,1.0,1.0
38.0,Mistral,1.0,1.0,1.0,1.0
38.0,LLaMA,1.0,1.0,1.0,1.0
